GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
plataforma-contenidos,ar.edu.unahur.obj2.w2j.planes,PlanBasico,42,0,2,0,9,0,4,0,3,0
plataforma-contenidos,ar.edu.unahur.obj2.w2j.plataforma,Usuario,8,0,0,0,2,0,2,0,2,0
plataforma-contenidos,ar.edu.unahur.obj2.w2j.contenidos,Episodio,25,0,0,0,10,0,5,0,5,0
plataforma-contenidos,ar.edu.unahur.obj2.w2j.contenidos,Serie,37,0,0,0,9,0,6,0,6,0
plataforma-contenidos,ar.edu.unahur.obj2.w2j.contenidos,IDRA,7,17,0,0,4,6,2,4,2,4
plataforma-contenidos,ar.edu.unahur.obj2.w2j.contenidos,Pelicula,8,0,0,0,3,0,2,0,2,0
plataforma-contenidos,ar.edu.unahur.obj2.w2j.contenidos,Documental,0,8,0,0,0,3,0,2,0,2
plataforma-contenidos,ar.edu.unahur.obj2.w2j.contenidos,Temporada,51,0,0,0,13,0,7,0,7,0
plataforma-contenidos,ar.edu.unahur.obj2.w2j.contenidos,Contenido,14,18,0,0,6,5,4,2,4,2
plataforma-contenidos,ar.edu.unahur.obj2.w2j,Main,7,0,0,0,3,0,2,0,2,0
